,Points,x mean,(x-mean)^2,Score,x mean,(x-mean)^2,Weigh,x mean,(x-mean)2
Ford Pantera L,4.22,0.62,0.3844,3.17,7.3,53.29,14.5,10.9,118.81
Maserati Bora,3.54,-0.06,0.0036,3.57,-0.03,0.0009,14.6,11,121
Camaro Z28,3.73,0.13,0.0169,3.84,0.24,0.0576,15.41,11.81,139.4761
Ferrari Dino,3.62,0.02,0.0004,2.77,-0.83,0.6889,15.5,11.9,141.61
Duster 360,3.21,-0.39,0.1521,3.57,-0.03,0.0009,15.84,12.24,149.8176
Mazda RX4,3.9,0.3,0.09,2.62,-0.98,0.9604,16.46,12.86,165.3796
Porsche 914-2,4.43,0.83,0.6889,2.14,-1.46,2.1316,16.7,13.1,171.61
Dodge Challenger,2.76,-0.84,0.7056,3.52,-0.08,0.0064,16.87,13.27,176.0929
Lotus Europa,3.77,0.17,0.0289,1.513,-2.087,4.355569,16.9,13.3,176.89
Mazda RX4 Wag,3.9,0.3,0.09,2.875,-0.725,0.525625,17.02,13.42,180.0964
Hornet Sportabout,3.15,-0.45,0.2025,3.44,-0.16,0.0256,17.02,13.42,180.0964
Pontiac Firebird,3.08,-0.52,0.2704,3.845,0.245,0.060025,17.05,13.45,180.9025
AMC Javelin,3.15,-0.45,0.2025,3.435,-0.165,0.027225,17.3,13.7,187.69
Merc 450SE,3.07,-0.53,0.2809,4.07,0.47,0.2209,17.4,13.8,190.44
Chrysler Imperial,3.23,-0.37,0.1369,5.345,1.745,3.045025,17.42,13.82,190.9924
Merc 450SL,3.07,-0.53,0.2809,3.73,0.13,0.0169,17.6,14,196
Lincoln Continental,3,-0.6,0.36,5.424,1.824,3.326976,17.82,14.22,202.2084
Cadillac Fleetwood,2.93,-0.67,0.4489,5.25,1.65,2.7225,17.98,14.38,206.7844
Merc 450SLC,3.07,-0.53,0.2809,3.78,0.18,0.0324,18,14.4,207.36
Merc 280,3.92,0.32,0.1024,3.44,-0.16,0.0256,18.3,14.7,216.09
Honda Civic,4.93,1.33,1.7689,1.615,-1.985,3.940225,18.52,14.92,222.6064
Volvo 142E,4.11,0.51,0.2601,2.78,-0.82,0.6724,18.6,15,225
Datsun 710,3.85,0.25,0.0625,2.32,-1.28,1.6384,18.61,15.01,225.3001
Fiat X1-9,4.08,0.48,0.2304,1.935,-1.665,2.772225,18.9,15.3,234.09
Merc 280C,3.92,0.32,0.1024,3.44,-0.16,0.0256,18.9,15.3,234.09
Hornet 4 Drive,3.08,-0.52,0.2704,3.215,-0.385,0.148225,19.44,15.84,250.9056
Fiat 128,4.08,0.48,0.2304,2.2,-1.4,1.96,19.47,15.87,251.8569
Toyota Corolla,4.22,0.62,0.3844,1.835,-1.765,3.115225,19.9,16.3,265.69
Merc 240D,3.69,0.09,0.0081,3.19,-0.41,0.1681,20,16.4,268.96
Toyota Corona,3.7,0.1,0.01,2.465,-1.135,1.288225,20.01,16.41,269.2881
Valiant,2.76,-0.84,0.7056,3.46,-0.14,0.0196,20.22,16.62,276.2244
Merc 230,3.92,0.32,0.1024,3.15,-0.45,0.2025,22.9,19.3,372.49
sum,115.09,-0.11,8.8627,102.952,-4.518,87.47177,571.16,455.96,6595.8482
mean,3.6,-0.11,,3.21,,,17.84,,
count,32,32,32,32,32,32,32,32,32
variance(s^2),,,0.285893548,,,2.82167,,,212.7692968
Std daviation,,,0.534690142,,,1.679782724,,,14.58661362
Range,2.17,,,3.911,,,8.4,,
