0,SP,(x_mean),(x_mean)^2,(x_mean)^3,(x_mean)^4,,WT,(x_mean),(x_mean)^2,(x_mean)^3,(x_mean)^4
1,104.1853528,-17.35491938,301.1932267,-5227.184167,90717.35981,,28.7620589,-3.65051801,13.32628174,-48.64783151,-48.64783151
2,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.46683298,30.46683298,928.2279118,28280.16476,28280.16476
3,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.19359657,30.19359657,911.6532738,27526.09116,27526.09116
4,113.4612635,113.4612635,12873.45832,1460638.846,165725929,,30.63211391,30.63211391,938.3264026,28742.92125,28742.92125
5,104.4612635,104.4612635,10912.15557,1139897.559,119075139.2,,29.88914864,29.88914864,893.3612064,26701.80589,26701.80589
6,113.1853528,113.1853528,12810.92409,1450008.963,164119776,,29.59176832,29.59176832,875.6727523,25912.70521,25912.70521
7,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.30847957,30.30847957,918.6039338,27841.48856,27841.48856
8,102.5985128,102.5985128,10526.45483,1079998.61,110806251.3,,15.84775807,15.84775807,251.1514358,3980.187194,3980.187194
9,102.5985128,102.5985128,10526.45483,1079998.61,110806251.3,,16.35948352,16.35948352,267.632701,4378.332762,4378.332762
10,115.6452041,115.6452041,13373.81323,1546617.361,178858880.3,,30.92015417,30.92015417,956.0559339,29561.39687,29561.39687
11,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.36334142,29.36334142,862.2058193,25317.24385,25317.24385
12,117.5985128,117.5985128,13829.41021,1626318.074,191252586.8,,15.75353468,15.75353468,248.1738549,3909.61543,3909.61543
13,122.1050553,122.1050553,14909.64453,1820542.97,222297500,,32.81359241,32.81359241,1076.731847,35331.43996,35331.43996
14,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.3784363,29.3784363,863.0925194,25356.3086,25356.3086
15,108.1853528,108.1853528,11704.07056,1266209.003,136985267.7,,29.34727902,29.34727902,861.2627859,25275.71929,25275.71929
16,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.60452658,29.60452658,876.427994,25946.23584,25946.23584
17,114.3692933,114.3692933,13080.33525,1495988.699,171095170.3,,29.5357836,29.5357836,872.3625129,25765.9104,25765.9104
18,117.5985128,117.5985128,13829.41021,1626318.074,191252586.8,,16.19412154,16.19412154,262.2495725,4246.90145,4246.90145
19,114.3692933,114.3692933,13080.33525,1495988.699,171095170.3,,29.92939368,29.92939368,895.7686061,26809.81126,26809.81126
20,118.4729364,118.4729364,14035.83666,1662866.784,197004710.7,,33.51697417,33.51697417,1123.387558,37652.55175,37652.55175
21,119.1050553,119.1050553,14186.0142,1689626.006,201242998.8,,32.32464971,32.32464971,1044.882979,33775.47628,33775.47628
22,110.8408174,110.8408174,12285.6868,1361755.567,150938100.2,,34.90821127,34.90821127,1218.583214,42538.56029,42538.56029
23,120.2889958,120.2889958,14469.44251,1740514.709,209364766.6,,32.6758277,32.6758277,1067.709716,34888.29871,34888.29871
24,113.8291446,113.8291446,12957.07416,1474892.668,167885770.8,,31.83712236,31.83712236,1013.60236,32270.18236,32270.18236
25,119.1853528,119.1853528,14205.14832,1693045.614,201786238.9,,28.78172789,28.78172789,828.3878603,23842.43398,23842.43398
26,114.5985128,114.5985128,13132.81914,1505001.542,172470938.5,,16.04317492,16.04317492,257.3834615,4129.247895,4129.247895
27,120.7605199,120.7605199,14583.10317,1761063.12,212666898,,38.06282335,38.06282335,1448.778521,55144.60093,55144.60093
28,119.1050553,119.1050553,14186.0142,1689626.006,201242998.8,,32.83506939,32.83506939,1078.141782,35400.86022,35400.86022
29,99.56490661,99.56490661,9913.170628,987003.9078,98270951.9,,34.4832075,34.4832075,1189.091599,41003.69236,41003.69236
